Header,Progression Level,BG3 abilities (All Classes),BG3 abilities (All Classes),Baseline_Arms,Baseline_Arms,Baseline_Protection,Baseline_Protection,Baseline_Protection,Baseline_Fury,Baseline_Fury,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Mountain Thane Talents (Protection & Fury),Mountain Thane Talents (Protection & Fury),Mountain Thane Talents (Protection & Fury),Mountain Thane Talents (Protection & Fury),Mountain Thane Talents (Protection & Fury),Colossus Talents (Arms & Protection),Colossus Talents (Arms & Protection),Colossus Talents (Arms & Protection),Colossus Talents (Arms & Protection),Colossus Talents (Arms & Protection),Slayers Talents (Arms & Fury),Slayers Talents (Arms & Fury),Slayers Talents (Arms & Fury),Slayers Talents (Arms & Fury),Slayers Talents (Arms & Fury)
,Level 9,,,Victory Rush - WAR__Victory_Rush_,Taunt - WAR__Taunt_,,Battle Shout - WAR__Battle_Shout_,,Hamstring - WAR__Hamstring_,Taunt - WAR__Taunt_,,,Thunderous Roar - WAR__Thunderous_Roar_,Avatar - WAR__Avatar_,Champion's Spear - WAR__Champion_s_Spear_,,,,,,,,,,Battlelord - WAR__Battlelord_,Bloodletting - WAR__Bloodletting_,Bladestorm - WAR__Bladestorm_,Ravager - WAR__Ravager_,Sharpened Blades - WAR__Sharpened_Blades_,Juggernaut - WAR__Juggernaut_,,,,,,,Onslaught - WAR__Onslaught_,Anger Management - WAR__Anger_Management_,Reckless Abandon - WAR__Reckless_Abandon_,Bladestorm - WAR__Bladestorm_,Ravager - WAR__Ravager_,Odyn's Fury - WAR__Odyn_s_Fury_,,,,Massacre - WAR__Massacre_,Booming Voice - WAR__Booming_Voice_,Indomitable - WAR__Indomitable_,Violent Outburst - WAR__Violent_Outburst_,Heavy Handed - WAR_Heavy_Handed,,,,,,,,,,,,,,,,,
,Level 10,,,,,Hamstring - WAR__Hamstring_,,,,,,,Uproar - WAR__Uproar_,Thunderous Words - WAR__Thunderous_Words_,Berserker's Torment - WAR__Berserker_s_Torment_,Titan's Torment - WAR__Titan_s_Torment_,Piercing Challenge - WAR__Piercing_Challenge_,Champion's Might - WAR__Champion_s_Might_,,,,,,,Fatality - WAR__Fatality_,Dance of Death - WAR__Dance_of_Death_,Unhinged - WAR__Unhinged_,Merciless Bonegrinder - WAR__Merciless_Bonegrinder_,Executioner's Precision - WAR__Executioner_s_Precision_,,,,,,,,Tenderize - WAR__Tenderize_,Unhinged - WAR__Unhinged_,Storm of Steel - WAR__Storm_of_Steel_,Unbridled Ferocity - WAR__Unbridled_Ferocity_,Depths of Insanity - WAR__Depths_of_Insanity_,Dancing Blades - WAR__Dancing_Blades_,Titanic Rage - WAR__Titanic_Rage_,,,Shield Charge - WAR__Shield_Charge_,Battle-Scarred Veteran - WAR__Battle_Scarred_Veteran_,Whirling Blade - WAR_Whirling_Blade,Ravager - WAR__Ravager_,,,,,,,,,,,,,,,,,,
,Level 11,,,Heroic Throw - WAR__Heroic_Throw_,,,,,Heroic Throw - WAR__Heroic_Throw_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Level 12,,Add Feat,Shield Slam - WAR__Shield_Slam_,,Execute - WAR__Execute_,,,Shield Slam - WAR__Shield_Slam_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Level 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Strikes - WAR_Lightning_Strikes,,,,,Demolish - WAR_Demolish,,,,,Slayers Dominance - WAR_Slayer_s_Dominance,,,,
,Level 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Level 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crashing Thunder - WAR_Crashing_Thunder,Ground Current - WAR_Ground_Current,Strength of the Mountain - WAR_Strength_of_the_Mountain,,,Martial Expert - WAR_Martial_Expert,Colossal Might - WAR_Colossal_Might,Earthquake - WAR_Earthquake,,,Imminent Demise - WAR_Imminent_Demise,Overwhelming Blades,Relentless Pursuit,
,Level 16,,Add Feat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Level 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thunder Blast - WAR_Thunder_Blast,Storm Bolts - WAR_Storm_Bolts,Keep your feet on the Ground - WAR_Keep_your_feet_on_the_Ground,,,Arterial Bleed - WAR_Arterial_Bleed,Tide of Battle - WAR_Tide_of_Battle,No Stranger to Pain - WAR_No_Stranger_to_Pain,,,Death Drive - WAR_Death_Drive,Brutal Finish,Opportunist,
,Level 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Level 19,,Add Feat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flashing Skies - WAR_Flashing_Skies,Thorims Might - WAR_Thorim_s_Might,Burst of Power - WAR_Burst_of_Power,,,Practiced Strikes - WAR_Practiced_Strikes,Precise Might - WAR_Precise_Might,Mountain of Muscle and Scars - WAR_Mountain_of_Muscle_and_Scars,,,Show No Mercy - WAR_Show_No_Mercy,Reap the Storm,Slayer�s Malice,
,Level 20,,Add Feat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avatar of the Storm - WAR_Avatar_of_the_Storm,,,,,Dominance of the Colossus - WAR_Dominance_of_the_Colossus,,,,,Unrelenting Onslaught - WAR_Unrelenting_Onslaught

