"ability_id","ability_name","ability_abbreviation","description_short","description_full","ability_type","ability_subtype","archetype_tags","unlock_level","unlock_source","subclass_filter","requires_ability","unlocks_ability","replaces_ability","modified_by","wow_cost_rage","bg3_action_cost","bg3_resource_cost","bg3_cooldown","bg3_file_type","bg3_spell_type","bg3_spell_success","bg3_target_conditions","damage_formula_bg3","status_applied","implementation_status","implementation_priority","implementation_notes"
"WAR__Thunder_Clap_","Thunder Clap","TC","a core part of Mountain Thane, but otherwise unused.","a core part of Mountain Thane, but otherwise unused.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Improved_Overpower_","Improved Overpower","","insignificant damage increase.","insignificant damage increase.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Bloodsurge_","Bloodsurge","","provides minor rage generation against a single target, but ramps greatly against multiple.","provides minor rage generation against a single target, but ramps greatly against multiple.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Fueled_by_Violence_","Fueled by Violence","","minor amount of passive healing which ramps against multiple targets.","minor amount of passive healing which ramps against multiple targets.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Storm_Wall_","Storm Wall","","heals on any parry, not just when Die by the Sword is active.","heals on any parry, not just when Die by the Sword is active.","Defensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Sudden_Death_","Sudden Death","SD","enables proc-based gameplay, now stacking up to two times.","enables proc-based gameplay, now stacking up to two times.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Fervor_of_Battle_","Fervor of Battle","FoB","single target damage enhancement, which also allows the abilities to stack Collateral Damage. The...","single target damage enhancement, which also allows the abilities to stack Collateral Damage. The auto-cast Slam does not cost rage.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Improved_Bloodthirst_","Improved Bloodthirst","","very small but worthwhile damage increase.","very small but worthwhile damage increase.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Fresh_Meat_","Fresh Meat","","useful leveling talent, but not very useful anywhere else.","useful leveling talent, but not very useful anywhere else.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Warpaint_","Warpaint","","strong passive damage reduction.","strong passive damage reduction.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Invigorating_Fury_","Invigorating Fury","","situationally useful in PvP, but otherwise much worse than Warpaint.","situationally useful in PvP, but otherwise much worse than Warpaint.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Cruelty_","Cruelty","","notable damage increase, though only while Enraged.","notable damage increase, though only while Enraged.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Disrupting_Shout_","Disrupting Shout","","Reduces the cooldown of Challenging Shout to 90s and converts it into an AoE taunt/interrupt. Coo...","Reduces the cooldown of Challenging Shout to 90s and converts it into an AoE taunt/interrupt. Cool concept, decent in Mythic+, and useful on some raid bosses!","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Best_Served_Cold_","Best Served Cold","BSC","Increases","Increases","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Strategist_","Strategist","","Critical rotational functionality. Absolutely mandatory talent. Not just for pathing reasons.","Critical rotational functionality. Absolutely mandatory talent. Not just for pathing reasons.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Grant_Extra_Attack","Grant Extra Attack","","","","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Hamstring_","Hamstring","","minor snare.","minor snare.","Offensive","","","5","Baseline","Arms","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Battle_Shout_","Battle Shout","Shout","worth ~5% damage for melee classes and Hunters.","worth ~5% damage for melee classes and Hunters.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Heroic_Throw_","Heroic Throw","HT","Weak single-target damage skill. Useful for tagging enemies from range, thats it.","Weak single-target damage skill. Useful for tagging enemies from range, thats it.","Offensive","","","5","Baseline","Protection","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Victory_Rush_","Victory Rush","VR","very useful free heal after getting a kill.","very useful free heal after getting a kill.","Defensive","","","5","Baseline","Fury","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Cacophonous_Roar_","Cacophonous Roar","","still broken far too easily in group content, only moderately viable in PvP.","still broken far too easily in group content, only moderately viable in PvP.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Menace_","Menace","","still easily broken in PvE, though moderately more useful due to the knockback.","still easily broken in PvE, though moderately more useful due to the knockback.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Spell_Reflection_","Spell Reflection","SR","very useful, low cooldown damage reduction.","very useful, low cooldown damage reduction.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Rallying_Cry_","Rallying Cry","Rally","one of the few raid-wide defensive abilities.","one of the few raid-wide defensive abilities.","Defensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Shockwave_","Shockwave","","on demand AoE stun.","on demand AoE stun.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Barbaric_Training_","Barbaric Training","","only useful for Mountain Thane in multitarget.","only useful for Mountain Thane in multitarget.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Tactician_","Tactician","","calculates the total rage spent on an ability and converts it into a chance to reset the cooldown...","calculates the total rage spent on an ability and converts it into a chance to reset the cooldown on Overpower.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Colossus_Smash_","Colossus Smash","CS","Arms' primary offensive cooldown, which also inflicts Deep Wounds.","Arms' primary offensive cooldown, which also inflicts Deep Wounds.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Impale_","Impale","","increases the extra critical hit damage inflicted by crits, meaning it's closer to a 5% damage bo...","increases the extra critical hit damage inflicted by crits, meaning it's closer to a 5% damage bonus than 10%.","Passive","","","5","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Focus_in_Chaos_","Focus in Chaos","","removes the 19% dual wield miss penalty from auto-attacks, although they can still be parried.","removes the 19% dual wield miss penalty from auto-attacks, although they can still be parried.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Rampage_","Rampage","Ramp","the core of Fury's rotation, converting rage into damage and Enrage.","the core of Fury's rotation, converting rage into damage and Enrage.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Improved_Raging_Blow_","Improved Raging Blow","","critical talent which enables Raging Blow resets.","critical talent which enables Raging Blow resets.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Last_Stand_","Last Stand","LS","Basic defensive cooldown, grants bonus health for 15 seconds. Good reactive cooldown. Mandatory t...","Basic defensive cooldown, grants bonus health for 15 seconds. Good reactive cooldown. Mandatory talent.","Passive","","","5","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Instigate_","Instigate","","Basically auto-attack rage generation by 2 and performs very well.","Basically auto-attack rage generation by 2 and performs very well.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Rend_","Rend","","Excellent DPS increase applied passively by","Excellent DPS increase applied passively by","Passive","","","5","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Brutal_Vitality_","Brutal Vitality","BrV","This grants ~8% Leech whenever Ignore Pain is active. It's a decent boost to self-sustain, especi...","This grants ~8% Leech whenever Ignore Pain is active. It's a decent boost to self-sustain, especially since the dmg from","Passive","","","5","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Honed_Reflexes_","Honed Reflexes","","Reduces most defensive cooldowns by a very minor amount.","Reduces most defensive cooldowns by a very minor amount.","Defensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Crushing_Force_","Crushing Force","","major damage increase for Slam.","major damage increase for Slam.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Bitter_Immunity_","Bitter Immunity","","highly situational due to its long cooldown.","highly situational due to its long cooldown.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Overwhelming_Rage_","Overwhelming Rage","","eases the burdens of rage management.","eases the burdens of rage management.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Rumbling_Earth_","Rumbling Earth","","greatly increases the usefulness of Shockwave when using it regularly against groups.","greatly increases the usefulness of Shockwave when using it regularly against groups.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Reinforced_Plates_","Reinforced Plates","","synergizes with Armored to the Teeth to provide additional damage.","synergizes with Armored to the Teeth to provide additional damage.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Skullsplitter_","Skullsplitter","SkS","condenses bleed damage into short cooldown windows and generates a moderate amount of rage.","condenses bleed damage into short cooldown windows and generates a moderate amount of rage.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Finishing_Blows_","Finishing Blows","","increases rage generation during the Execute phase to fuel its higher costs.","increases rage generation during the Execute phase to fuel its higher costs.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Anger_Management_","Anger Management","AM","an indispensable talent, creating more frequent increased damage windows.","an indispensable talent, creating more frequent increased damage windows.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Spiteful_Serenity_","Spiteful Serenity","","a very underwhelming talent with its own negative bonus in addition to strong competition in Ange...","a very underwhelming talent with its own negative bonus in addition to strong competition in Anger Management.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Exhilarating_Blows_","Exhilarating Blows","","allows more casts of Mortal Strike and Cleave.","allows more casts of Mortal Strike and Cleave.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Collateral_Damage_","Collateral Damage","","gains a stack for each single target attack cleaved by Sweeping Strikes, which includes the free ...","gains a stack for each single target attack cleaved by Sweeping Strikes, which includes the free Slam cast by Fervor of Battle, creating great synergy between them.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Cleave_","Cleave","","Arms' primary multitarget attack, which also inflicts Deep Wounds.","Arms' primary multitarget attack, which also inflicts Deep Wounds.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Single","Single","","Minded Fury- increase the effectiveness of dual wielding one-handed weapons, but not by enough t...","Minded Fury- increase the effectiveness of dual wielding one-handed weapons, but not by enough to make them competitive with two-handed weapons.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Cold_Steel_Hot_Blood_","Cold Steel, Hot Blood","CSHB","inflicts a powerful bleed, which can be applied to multiple targets via Whirlwind.","inflicts a powerful bleed, which can be applied to multiple targets via Whirlwind.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Vicious_Contempt_","Vicious Contempt","VC","promotes Bloodthirst playstyles by greatly increasing its damage during the execute phase.","promotes Bloodthirst playstyles by greatly increasing its damage during the execute phase.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Frenzy_","Frenzy","","semi-passive haste buff, with the downside of easily falling off when regularly switching targets.","semi-passive haste buff, with the downside of easily falling off when regularly switching targets.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Hack_and_Slash_","Hack and Slash","HnS/H&S","very important reset mechanic for Raging Blow builds.","very important reset mechanic for Raging Blow builds.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Slaughtering_Strikes_","Slaughtering Strikes","","provides a significant damage boost for Rampage and greatly emphasizes Raging Blow's role in the ...","provides a significant damage boost for Rampage and greatly emphasizes Raging Blow's role in the rotation.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Ashen_Juggernaut_","Ashen Juggernaut","","provides a significant damage boost when using Execute regularly.","provides a significant damage boost when using Execute regularly.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Improved_Whirlwind_","Improved Whirlwind","","enables Fury's ability to cleave single target attacks onto other targets, forming the basis of i...","enables Fury's ability to cleave single target attacks onto other targets, forming the basis of its multitarget rotation.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Unnerving_Focus_","Unnerving Focus","","Increases Rage Generation while Last Stand is active. Has rarely seen play.","Increases Rage Generation while Last Stand is active. Has rarely seen play.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Bolster","Bolster","","Reduces the cooldown of  Last Stand to 2 minutes and grants  Shield Block. Can find a niche appli...","Reduces the cooldown of  Last Stand to 2 minutes and grants  Shield Block. Can find a niche application if the lower cooldown is beneficial.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Thunderlord_","Thunderlord","TL","Good cooldown reduction for demoralizing Shout that synergizes with other talents in the tree. Go...","Good cooldown reduction for demoralizing Shout that synergizes with other talents in the tree. Good talent in AoE, very mediocre in single target.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Sudden_Death","Sudden Death","SD","Excellent single-target damage proc, adds up to quite a bit of damage throughout a raid fight.","Excellent single-target damage proc, adds up to quite a bit of damage throughout a raid fight.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Heavy_Repercussions","Heavy Repercussions","HR","Increases Rage Generation of  Shield Slam by 2, which is also multiplied by  Violent Outburst. Bu...","Increases Rage Generation of  Shield Slam by 2, which is also multiplied by  Violent Outburst. But more importantly, it increases  Shield Block duration by 1 second every time you press  Shield Slam, resulting in pretty much infinite  Shield Block uptime. Mandatory pick for low haste levels early in an expansion.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Punish","Punish","","Increases  Shield Slam damage and causes the hit enemy to deal less damage to you.","Increases  Shield Slam damage and causes the hit enemy to deal less damage to you.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Hunker_Down","Hunker Down","","Increases  Spell Reflection magic damage reduction and grants you 2% passive AoE damage reduction.","Increases  Spell Reflection magic damage reduction and grants you 2% passive AoE damage reduction.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Vanguard_","Vanguard","","Simple defensive aura, reduces your damage taken, increases your Stamina and Armor.","Simple defensive aura, reduces your damage taken, increases your Stamina and Armor.","Passive","","","7","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Wrecking_Throw_","Wrecking Throw","","highly effective against absorption shields, though rarely a major gain.","highly effective against absorption shields, though rarely a major gain.","Defensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Shattering_Throw_","Shattering Throw","","immunity breaking version of Wrecking Throw, rarely used in PvE.","immunity breaking version of Wrecking Throw, rarely used in PvE.","Offensive","","","7","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Sidearm_","Sidearm","","minor passive damage increase.","minor passive damage increase.","Passive","","","7","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Double_Time_","Double Time","","a must-have mobility increase.","a must-have mobility increase.","Passive","","","7","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
