"ability_id","ability_name","ability_abbreviation","description_short","description_full","ability_type","ability_subtype","archetype_tags","warrior_unlock","arms_unlock","fury_unlock","protection_unlock","unlock_source","subclass_filter","requires_ability","unlocks_ability","replaces_ability","modified_by","wow_cost_rage","bg3_action_cost","bg3_resource_cost","bg3_cooldown","bg3_file_type","bg3_spell_type","bg3_spell_success","bg3_target_conditions","damage_formula_bg3","status_applied","implementation_status","implementation_priority","implementation_notes"
"WAR__Mortal_Strike_","Mortal Strike","MS","primary attack forming the basis of the rotation.","primary attack forming the basis of the rotation.","Offensive","","Arms,Single-Target,Bleed","","1","","","Baseline","All","","","","","30","Action","","","Spell_Target","Target","DealDamage(2d6+StrengthModifier,Slashing);ApplyStatus(WAR_DEEP_WOUNDS,100,3)","","2d6+StrengthModifier,Slashing","","Not Started","","Wowhead: https://www.wowhead.com/spell=12294"
"WAR__Titan_s_Grip_","Titan's Grip","TG","passive bonus which allows dual wielding two-handed weapons.","passive bonus which allows dual wielding two-handed weapons.","Passive","","Fury,Passive,Dual-Wield","","","1","","Spec Talent","Fury","","","","","","None","","","Passive","N/A","Equipment proficiency unlock","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=46917"
"WAR__Mastery_Unshackled_Fury_","Mastery: Unshackled Fury","","passive bonus which scales damage with Mastery.","passive bonus which scales damage with Mastery.","Passive","","Passive,Mastery,Stat-Scaling","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Mastery stat - BG3 equivalent could be bonus damage scaling. Needs custom implementation."
"WAR__Bloodthirst_","Bloodthirst","BT","Primary attack which forms the basis of the rotation.","Primary attack which forms the basis of the rotation.","Offensive","","Fury,Healing,Enrage","","","1","","Baseline","All","","","","","20","Action","","","Spell_Target","Target","DealDamage(2d8+StrengthModifier,Physical);IF(CriticalHit()):ApplyStatus(WAR_ENRAGED,100,4);RegainHitPoints(3% MaxHP)","","2d8+StrengthModifier,Physical","","Not Started","","Wowhead: https://www.wowhead.com/spell=23881"
"WAR__Ignore_Pain_","Ignore Pain","IP","Core defensive skill, must-have talent.","Core defensive skill, must-have talent.","Defensive","","Protection,Defensive,Absorb","","4","","1","Baseline","All","","","","","40","Action","","","Spell_Shout","Shout","ApplyStatus(SELF,WAR_IGNORE_PAIN,100,6)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=190456"
"WAR__Fast_Footwork_","Fast Footwork","","Increases movement speed","minor passive speed boost.","Passive","","Passive,Mobility","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Movement speed boost"
"WAR__War_Machine_","War Machine","","passive boost to rage generation with bonus on kill effects.","passive boost to rage generation with bonus on kill effects.","Passive","","Passive,Proc,Movement","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Apply status on kill that grants movement speed boost"
"WAR__Leeching_Strikes_","Leeching Strikes","","1% of damage dealt heals you","minor passive healing boost.","Passive","","Passive,Healing,Lifesteal","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Lifesteal passive - may need custom functor"
"WAR__Intervene_","Intervene","","charge an ally!","charge an ally!","Utility","","Utility,Defensive,Mobility","","","","","Baseline","All","","","","","","Action","","Short Rest (shares MobilityCharge)","Spell_Jump","Target","TeleportSource();ApplyStatus(context.Target,WAR_INTERVENED,100,3)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=3411"
"WAR__Overpower_","Overpower","OP","secondary attack which buffs Mortal Strike.","secondary attack which buffs Mortal Strike.","Offensive","","Arms,Free-Attack","","2","","","Baseline","All","","","","","","Action","","","Spell_Target","Target","DealDamage(2d6+StrengthModifier,Physical)","","2d6+StrengthModifier,Physical","","Not Started","","Wowhead: https://www.wowhead.com/spell=7384"
"WAR__Raging_Blow_","Raging Blow","RB","Primary attack which forms the basis of the rotation.","Primary attack which forms the basis of the rotation.","Offensive","","Fury,Free-Attack,Enrage","","","2","","Baseline","All","","","","","","Action","","","Spell_Target","Target","DealDamage(2d8+StrengthModifier,Physical)","HasStatus('WAR_ENRAGED',context.Source)","2d8+StrengthModifier,Physical","","Not Started","","Wowhead: https://www.wowhead.com/spell=85288"
"WAR__Revenge_","Revenge","","Core offensive AoE Rage spender. Must-have talent.","Core offensive AoE Rage spender. Must-have talent.","Offensive","","Protection,AoE,Reactive","","","","","Baseline","All","","","","","30","Action","","","Spell_Zone","Zone","DealDamage(2d8+StrengthModifier,Physical)","","2d8+StrengthModifier,Physical","","Not Started","","Wowhead: https://www.wowhead.com/spell=6572"
"WAR__Demoralizing_Shout_","Demoralizing Shout","Demo or DS","Minor defensive cooldown with good talent synergy deeper in the tree. Must-have talent.","Minor defensive cooldown with good talent synergy deeper in the tree. Must-have talent.","Defensive","","Defensive,AoE,Debuff","","","","2","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","ApplyStatus(NEARBY_ENEMIES,WAR_DEMORALIZED,100,8)","","None","","Not Started","","AoE debuff shout"
"WAR__Execute_","Execute","Exe","Arms' version of Execute","Arms' version of Execute","Offensive","","Execute,Burst,Finisher","","3","7","","Baseline","Protection","","","","","20","Action","","","Spell_Target","Target","DealDamage(4d12+StrengthModifier,Slashing)","HealthPercentage(context.Target) <= 20","4d12+StrengthModifier,Slashing","","Not Started","","Wowhead: https://www.wowhead.com/spell=5308"
"WAR__Pummel_","Pummel","","low cooldown interrupt.","low cooldown interrupt.","Offensive","","Utility,Interrupt","","","","7","Baseline","All","","","","","","Action","","OncePerTurn","Spell_Target","Target","Interrupt()","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=6552"
"WAR__Devastate_","Devastate","","A very basic damaging skill that has a lot of talent interactions.","A very basic damaging skill that has a lot of talent interactions.","Offensive","","Protection,Rage-Generation","","","","","Baseline","Protection","","","","","","Action","","","Spell_Target","Target","DealDamage(1d6+StrengthModifier+ShieldAC,Physical);RestoreResource(context.Source,Rage,10,0)","","1d6+StrengthModifier+ShieldAC,Physical","","Not Started","","Wowhead: https://www.wowhead.com/spell=20243"
"WAR__Shield_Block_","Shield Block","SB","Primary defensive skill. Very powerful damage mitigation while active.","Primary defensive skill. Very powerful damage mitigation while active.","Defensive","","Protection,Defensive,Mitigation","","","","3","Baseline","All","","","","","","Action","","Short Rest (1-2 charges)","Spell_Shout","Shout","ApplyStatus(SELF,WAR_SHIELD_BLOCK,100,2)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=2565"
"WAR__Riposte_","Riposte","","A very simple Crit to Parry conversion.","A very simple Crit to Parry conversion.","Offensive","","Protection,Passive,Mitigation","","","","","Baseline","All","","","","","","Action","","","Passive","N/A","Passive conversion","","None","","Not Started","",""
"WAR__Slam_","Slam","","initial rage spender, quickly replaced by other abilities.","initial rage spender, quickly replaced by other abilities.","Offensive","","Offensive","","","","","Baseline","Protection","","","","","20","Action","","","Spell_Target","Target","DealDamage(1d8+StrengthModifier,Bludgeoning)","","1d8+StrengthModifier,Bludgeoning","","Not Started","","Wowhead: https://www.wowhead.com/spell=1464"
"WAR__Impending_Victory_","Impending Victory","IV","Deals damage and heals you for 20% of your max HP","on-demand version of Victory Rush.","Offensive","","Offensive,Healing,Single-Target","","3","3","3","Baseline","All","","","","","10","Action","","None","Spell_Target","Target","DealDamage(2d6+StrengthModifier,Physical);RegainHitPoints(20% MaxHP)","","2d6+StrengthModifier,Physical","","Not Started","","Healing attack - alternative to Victory Rush"
"WAR__Heroic_Leap_","Heroic Leap","Leap","burst mobility skill, which does not immune ground effects like Blink, but can be useful for avoi...","burst mobility skill, which does not immune ground effects like Blink, but can be useful for avoiding knockbacks.","Utility","","Mobility,AoE","","3","3","3","Baseline","All","","","","","","Action","","Short Rest (shares MobilityCharge)","Spell_Jump","Zone","TeleportSource();DealDamage(1d6,Bludgeoning)","","1d6,Bludgeoning","","Not Started","","Wowhead: https://www.wowhead.com/spell=6544"
"WAR__Storm_Bolt_","Storm Bolt","","useful ranged stun on a relatively low cooldown.","useful ranged stun on a relatively low cooldown.","Offensive","","Utility,Stun,Ranged","","","","","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Projectile","Projectile","DealDamage(1d6+StrengthModifier,Thunder);ApplyStatus(WAR_STUNNED,100,2)","","1d6+StrengthModifier,Thunder","","Not Started","","Wowhead: https://www.wowhead.com/spell=107570"
"WAR__Martial_Prowess_","Martial Prowess","","Increases damage of all Arms abilities by 5%","enables Overpower's buff.","Offensive","","Arms,Passive,Damage-Boost","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Spec-wide damage boost"
"WAR__Die_by_the_Sword_","Die by the Sword","DbtS","Arms primary defensive cooldown.","Arms primary defensive cooldown.","Defensive","","Arms,Defensive,Cooldown","","3","","","Baseline","All","","","","","","Action","","3 minutes (OncePerCombat)","Spell_Shout","Shout","ApplyStatus(SELF,WAR_DIE_BY_SWORD,100,4)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=118038"
"WAR__Improved_Execute_","Improved Execute","","Execute deals additional 2d6 damage","enables Arms Execute.","Offensive","","Passive,Execute-Build,Damage-Boost","","","","","Baseline","All","","","","Execute","","Action","","","Passive","Target","","","","","Not Started","","Modifies Execute - add to modified_by column"
"WAR__Frenzied_Enrage_","Frenzied Enrage","","While Enraged, you deal 10% more damage","greatly increases the speed of Fury gameplay.","Passive","","Fury,Enrage,Damage-Boost","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Conditional damage boost while Enraged"
"WAR__Powerful_Enrage_","Powerful Enrage","","large damage increase without increasing the speed of Fury gameplay.","large damage increase without increasing the speed of Fury gameplay.","Passive","","Fury,Enrage,Critical","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Conditional crit boost while Enraged"
"WAR__Enraged_Regeneration_","Enraged Regeneration","ER","Fury's primary defensive cooldown.","Fury's primary defensive cooldown.","Defensive","","Fury,Defensive,Healing","","","3","","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","ApplyStatus(SELF,WAR_ENRAGED_REGEN,100,5)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=184364"
"WAR__Brace_For_Impact_","Brace For Impact","BFI","Stacking buff that grants 10% Shield Slam damage and 5% Block Value per stack. Extremely easy to ...","Stacking buff that grants 10% Shield Slam damage and 5% Block Value per stack. Extremely easy to maintain 2-3 stacks, which provides incredible value for a single point. Absolutely mandatory talent.","Passive","","Protection,Defensive,Mitigation","","","","3","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Enhances Shield Block mitigation"
"WAR__Armor_Specialization_","Armor Specialization","","Basic Armor increase, has synergy with other talents to increase Strength.","Basic Armor increase, has synergy with other talents to increase Strength.","Passive","","Protection,Passive,Defensive","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Simple AC boost"
"WAR__Fight_Through_the_Flames_","Fight Through the Flames","FTTF","Newly added in The War Within, reduces magic dmg taken while in Defensive Stance, not overly usef...","Newly added in The War Within, reduces magic dmg taken while in Defensive Stance, not overly useful for most situations. Niche application in Mythic Plus, more useful in Raid.","Defensive","","Protection,Defensive,Resistance","","","","3","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Damage type resistance"
"WAR__Devastator_","Devastator","","Excellent rotation-smoothing talent, must-have talent. DO NOT TRY TO SKIP THIS.","Excellent rotation-smoothing talent, must-have talent. DO NOT TRY TO SKIP THIS.","Offensive","","Protection,Proc,Shield-Slam-Enhancement","","","","","Baseline","All","","","","Devastate","","Action","","","Passive","Target","","","","","Not Started","","Proc-based Shield Slam reset"
"WAR__Intimidating_Shout_","Intimidating Shout","","easily broken AoE fear which can be used as a pseudo interrupt.","easily broken AoE fear which can be used as a pseudo interrupt.","Offensive","","Utility,AoE,CC,Fear","","","","","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","ApplyStatus(NEARBY_ENEMIES,FRIGHTENED,100,8)","","None","","Not Started","","AoE fear effect"
"WAR__Second_Wind_","Second Wind","","very rarely ignores environmental damage, but is usually broken by most effects.","very rarely ignores environmental damage, but is usually broken by most effects.","Offensive","","Defensive,Healing,Self-Heal","","","","","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","RegainHitPoints(30% MaxHP)","","None","","Not Started","","Emergency self-heal"
"WAR__Frothing_Berserker_","Frothing Berserker","","Taking damage while Enraged generates 2 Rage","inconsistent passive rage refund.","Passive","","Fury,Enrage,Rage-Generation","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Rage generation on damage taken"
"WAR__Bounding_Stride_","Bounding Stride","","Using Charge, Heroic Leap, or Intervene increases movement speed","allows more leaping.","Utility","","Utility,Mobility,Passive","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Passive that triggers on mobility ability use"
"WAR__Pain_and_Gain_","Pain and Gain","","passive self-healing.","passive self-healing.","Passive","","Passive,Healing,Lifesteal","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Passive self-healing - heal based on damage dealt."
"WAR__Thunder_Clap_","Thunder Clap","TC","a core part of Mountain Thane, but otherwise unused.","a core part of Mountain Thane, but otherwise unused.","Offensive","","AoE,Slow","","4","4","4","Baseline","All","","","","","20","Action","","","Spell_Zone","Zone","DealDamage(1d8+StrengthModifier,Thunder);ApplyStatus(WAR_SLOWED,100,3)","","1d8+StrengthModifier,Thunder","","Not Started","","Wowhead: https://www.wowhead.com/spell=6343"
"WAR__Improved_Overpower_","Improved Overpower","","insignificant damage increase.","insignificant damage increase.","Passive","","Passive,-Enhancement,Damage-Boost","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Enhances  with bonus damage"
"WAR__Bloodsurge_","Bloodsurge","","provides minor rage generation against a single target, but ramps greatly against multiple.","provides minor rage generation against a single target, but ramps greatly against multiple.","Offensive","","Fury,Proc,Rage-Generation","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Rage generation proc"
"WAR__Fueled_by_Violence_","Fueled by Violence","","minor amount of passive healing which ramps against multiple targets.","minor amount of passive healing which ramps against multiple targets.","Passive","","Passive,Healing,AoE-Scaling","","","","5","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Minor passive healing that ramps against multiple targets."
"WAR__Storm_Wall_","Storm Wall","","heals on any parry, not just when Die by the Sword is active.","heals on any parry, not just when Die by the Sword is active.","Defensive","","Arms,Defensive,Raid-Utility","","","","","Baseline","All","Die by the Sword","Die by the Sword","","","","Action","","","Passive","Target","","","","","Not Started","","Extends Die by the Sword with AoE benefit"
"WAR__Sudden_Death_","Sudden Death","SD","enables proc-based gameplay, now stacking up to two times.","enables proc-based gameplay, now stacking up to two times.","Offensive","","Execute-Build,Proc,Fury","","4","4","6","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Proc that enables Execute outside execute phase"
"WAR__Fervor_of_Battle_","Fervor of Battle","FoB","single target damage enhancement, which also allows the abilities to stack Collateral Damage. The...","single target damage enhancement, which also allows the abilities to stack Collateral Damage. The auto-cast Slam does not cost rage.","Passive","","Arms,AoE-Enhancement,Cleave","","4","","","Baseline","All","","","","Slam,Whirlwind","","Action","","","Passive","Target","","","","","Not Started","","Allows Slam/Whirlwind to stack Collateral Damage. Enables single-target abilities to hit multiple targets."
"WAR__Improved_Bloodthirst_","Improved Bloodthirst","","very small but worthwhile damage increase.","very small but worthwhile damage increase.","Passive","","Passive,-Enhancement,Damage-Boost","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Enhances  with bonus damage"
"WAR__Fresh_Meat_","Fresh Meat","","useful leveling talent, but not very useful anywhere else.","useful leveling talent, but not very useful anywhere else.","Offensive","","Fury,Proc,Bloodthirst-Enhancement","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Enhances Bloodthirst crits"
"WAR__Warpaint_","Warpaint","","strong passive damage reduction.","strong passive damage reduction.","Passive","","Passive,Defensive,Mitigation","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Passive damage mitigation"
"WAR__Invigorating_Fury_","Invigorating Fury","","situationally useful in PvP, but otherwise much worse than Warpaint.","situationally useful in PvP, but otherwise much worse than Warpaint.","Passive","","Fury,Healing,Enrage","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Heal when Enrage expires. PvP-focused talent, less useful in PvE."
"WAR__Cruelty_","Cruelty","","notable damage increase, though only while Enraged.","notable damage increase, though only while Enraged.","Passive","","Passive,Enrage,Conditional-Boost","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Conditional bonus while Enraged status active"
"WAR__Disrupting_Shout_","Disrupting Shout","","Reduces the cooldown of Challenging Shout to 90s and converts it into an AoE taunt/interrupt. Coo...","Reduces the cooldown of Challenging Shout to 90s and converts it into an AoE taunt/interrupt. Cool concept, decent in Mythic+, and useful on some raid bosses!","Offensive","","Utility,AoE,Taunt,Cooldown-Reduction","","","","","Baseline","All","","","","","","Action","","90 seconds","Spell_Shout","Shout","ApplyStatus(NEARBY_ENEMIES,TAUNTED,100,6)","","","","Not Started","","Converts Challenging Shout to AoE taunt with reduced cooldown (90s vs 240s)"
"WAR__Best_Served_Cold_","Best Served Cold","BSC","Increases","Increases","Passive","","Protection,Revenge-Enhancement","","","","4","Baseline","All","Revenge","","","","","None","","","Passive","N/A","","","","","Not Started","","Increases Revenge effectiveness. Tank passive."
"WAR__Strategist_","Strategist","","Critical rotational functionality. Absolutely mandatory talent. Not just for pathing reasons.","Critical rotational functionality. Absolutely mandatory talent. Not just for pathing reasons.","Passive","","Arms,Proc,Overpower-Build,Critical","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Critical rotational talent - MANDATORY. 30% chance to reset Overpower charges."
"WAR_Grant_Extra_Attack","Grant Extra Attack","","","","Passive","","Unknown,Extra-Attack","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","NEEDS RESEARCH - No description available. Likely grants additional attack proc."
"WAR__Hamstring_","Hamstring","","minor snare.","minor snare.","Offensive","","Utility,Slow","","","","","Baseline","Protection","","","","","","Action","","","Spell_Target","Target","ApplyStatus(WAR_HAMSTRUNG,100,3)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=1715"
"WAR__Battle_Shout_","Battle Shout","Shout","worth ~5% damage for melee classes and Hunters.","worth ~5% damage for melee classes and Hunters.","Offensive","","Buff,Raid-Utility","","5","7","11","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","ApplyStatus(SELF,WAR_BATTLE_SHOUT,100,600)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=6673"
"WAR__Heroic_Throw_","Heroic Throw","HT","Weak single-target damage skill. Useful for tagging enemies from range, thats it.","Weak single-target damage skill. Useful for tagging enemies from range, thats it.","Offensive","","Utility,Ranged","","11","11","5","Baseline","Fury","","","","","","Action","","","Spell_Projectile","Projectile","DealDamage(1d4+StrengthModifier,Physical)","","1d4+StrengthModifier,Physical","","Not Started","","Wowhead: https://www.wowhead.com/spell=57755"
"WAR__Victory_Rush_","Victory Rush","VR","very useful free heal after getting a kill.","very useful free heal after getting a kill.","Defensive","","Defensive,Healing,Reactive","","9","5","9","Baseline","Protection","","","","","","Action","","None (requires kill trigger)","Spell_Target","Target","RegainHitPoints(20% MaxHP)","HasStatus('WAR_VICTORIOUS',context.Source)","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=34428"
"WAR__Cacophonous_Roar_","Cacophonous Roar","","still broken far too easily in group content, only moderately viable in PvP.","still broken far too easily in group content, only moderately viable in PvP.","Offensive","","Utility,AoE,CC,Fear","","","","","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","ApplyStatus(NEARBY_ENEMIES,INCAPACITATED,100,4)","","","","Not Started","","AoE incapacitate, easily broken. Moderately viable in PvP."
"WAR__Menace_","Menace","","still easily broken in PvE, though moderately more useful due to the knockback.","still easily broken in PvE, though moderately more useful due to the knockback.","Offensive","","Utility,CC,Fear,Knockback","","","","","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Target","Target","ApplyStatus(FRIGHTENED,100,6);Force(Knockback,6m)","","","","Not Started","","Single-target fear with knockback. More useful than Cacophonous Roar due to knockback."
"WAR__Spell_Reflection_","Spell Reflection","SR","very useful, low cooldown damage reduction.","very useful, low cooldown damage reduction.","Offensive","","Defensive,Magic-Defense","","5","5","5","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","ApplyStatus(SELF,WAR_SPELL_REFLECT,100,3)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=23920"
"WAR__Rallying_Cry_","Rallying Cry","Rally","one of the few raid-wide defensive abilities.","one of the few raid-wide defensive abilities.","Defensive","","Defensive,Raid-Utility,Temporary-HP","","5","5","5","Baseline","All","","","","","","Action","","3 minutes (OncePerCombat)","Spell_Shout","Shout","ApplyStatus(SELF,WAR_RALLYING_CRY,100,10)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=97462"
"WAR__Shockwave_","Shockwave","","on demand AoE stun.","on demand AoE stun.","Offensive","","AoE,Stun,CC","","","","","Baseline","All","","","","","20","Action","","OncePerShortRest","Spell_Zone","Zone","DealDamage(1d6+StrengthModifier,Force);ApplyStatus(WAR_STUNNED,100,2)","","1d6+StrengthModifier,Force","","Not Started","","Wowhead: https://www.wowhead.com/spell=46968"
"WAR__Barbaric_Training_","Barbaric Training","","only useful for Mountain Thane in multitarget.","only useful for Mountain Thane in multitarget.","Passive","","Fury,AoE,Mountain-Thane","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Only useful for Mountain Thane in multitarget. Spec-specific passive."
"WAR__Tactician_","Tactician","","calculates the total rage spent on an ability and converts it into a chance to reset the cooldown...","calculates the total rage spent on an ability and converts it into a chance to reset the cooldown on Overpower.","Offensive","","Arms,Proc,Overpower-Build","","","","","Baseline","All","","Deft Experience","","","","Action","","","Passive","Target","","","","","Not Started","","Proc passive - requires charge resource for Overpower"
"WAR__Colossus_Smash_","Colossus Smash","CS","Arms' primary offensive cooldown, which also inflicts Deep Wounds.","Arms' primary offensive cooldown, which also inflicts Deep Wounds.","Offensive","","Arms,Debuff,Burst","","5","","","Baseline","All","","","","","","Action","","45 seconds (OncePerShortRest)","Spell_Target","Target","DealDamage(2d10+StrengthModifier,Physical);ApplyStatus(WAR_COLOSSUS_SMASH,100,5)","","2d10+StrengthModifier,Physical","","Not Started","","Wowhead: https://www.wowhead.com/spell=167105"
"WAR__Impale_","Impale","","increases the extra critical hit damage inflicted by crits, meaning it's closer to a 5% damage bo...","increases the extra critical hit damage inflicted by crits, meaning it's closer to a 5% damage bonus than 10%.","Passive","","Passive,Critical,Damage-Boost","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Increases critical strike damage"
"WAR__Focus_in_Chaos_","Focus in Chaos","","removes the 19% dual wield miss penalty from auto-attacks, although they can still be parried.","removes the 19% dual wield miss penalty from auto-attacks, although they can still be parried.","Passive","","Fury,Dual-Wield,Hit-Chance","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Removes 19% dual-wield miss penalty from auto-attacks (though they can still be dodged/parried)."
