"ability_id","ability_name","ability_abbreviation","description_short","description_full","ability_type","ability_subtype","archetype_tags","warrior_unlock","arms_unlock","fury_unlock","protection_unlock","unlock_source","subclass_filter","requires_ability","unlocks_ability","replaces_ability","modified_by","wow_cost_rage","bg3_action_cost","bg3_resource_cost","bg3_cooldown","bg3_file_type","bg3_spell_type","bg3_spell_success","bg3_target_conditions","damage_formula_bg3","status_applied","implementation_status","implementation_priority","implementation_notes","bg3_other_resource_cost","wow_mechanic_type","bg3_mechanic_equivalent","resource_cost_rage","damage_formula","granted_by_subclass","localization_handle_name","localization_handle_description"
"WAR_Mortal_Strike","Mortal Strike","MS","primary attack forming the basis of the rotation.","primary attack forming the basis of the rotation.","Offensive","Single-Target-Attack","Arms,Single-Target,Bleed","","1","","","Baseline","All","","","","","30","Action","ActionPoint:1;Rage:30","None","Spell_Target","Target","DealDamage(2d6+StrengthModifier,Slashing);ApplyStatus(WAR_DEEP_WOUNDS,100,3)","MeleeRange() and not Dead()","2d6+StrengthModifier,Slashing","None - Damage Only","Not Started","P3","Wowhead: https://www.wowhead.com/spell=12294","","","","","","","h78fe4967g01cdg0000g0000g000000000001","h78fe4967g01ceg0000g0000g000000000001"
"WAR_Titan_s_Grip","Titan's Grip","TG","passive bonus which allows dual wielding two-handed weapons.","passive bonus which allows dual wielding two-handed weapons.","Passive","Talent-Passive","Fury,Passive,Dual-Wield","Auto-Grant","Auto-Grant","1","Auto-Grant","Spec Talent","Fury","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","Equipment proficiency unlock","N/A - Passive","None","N/A - Passive Effect","Not Started","P3","Wowhead: https://www.wowhead.com/spell=46917","","","","","","","h78fe4967g0015g0000g0000g000000000001","h78fe4967g0016g0000g0000g000000000001"
"WAR_Mastery_Unshackled_Fury","Mastery: Unshackled Fury","MUF","passive bonus which scales damage with Mastery.","passive bonus which scales damage with Mastery.","Passive","Mastery-Passive","Passive,Mastery,Stat-Scaling","Auto-Grant","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Mastery stat - BG3 equivalent could be bonus damage scaling. Needs custom implementation.","","","","","","","h78fe4967g001bg0000g0000g000000000001","h78fe4967g001cg0000g0000g000000000001"
"WAR_Bloodthirst","Bloodthirst","BT","Primary attack which forms the basis of the rotation.","Primary attack which forms the basis of the rotation.","Offensive","General","Fury,Healing,Enrage","","","1","","Baseline","All","","","","","20","Action","ActionPoint:1;Rage:20","None","Spell_Target","Target","DealDamage(2d8+StrengthModifier,Physical);IF(CriticalHit()):ApplyStatus(WAR_ENRAGED,100,4);RegainHitPoints(3% MaxHP)","MeleeRange() and not Dead()","2d8+StrengthModifier,Physical","","Not Started","P3","Wowhead: https://www.wowhead.com/spell=23881","BloodthirstStacks:1","","","","","","h78fe4967g01bdg0000g0000g000000000001","h78fe4967g01beg0000g0000g000000000001"
"WAR_Ignore_Pain","Ignore Pain","IP","Core defensive skill, must-have talent.","Core defensive skill, must-have talent.","Defensive","Defensive-CD","Protection,Defensive,Absorb","","4","","1","Baseline","All","","","","","40","Action","ActionPoint:1;Rage:40","OncePerTurn","Spell_Shout","Shout","ApplyStatus(SELF,WAR_IGNORE_PAIN,100,6)","Self","None","WAR_IGNORE_PAIN","Not Started","P3","Wowhead: https://www.wowhead.com/spell=190456","","","","","","","h78fe4967g0171g0000g0000g000000000001","h78fe4967g0172g0000g0000g000000000001"
"WAR_Fast_Footwork","Fast Footwork","FF","Increases movement speed","minor passive speed boost.","Passive","Talent-Passive","Passive,Mobility","2","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Movement speed boost","","","","","","","h78fe4967g001dg0000g0000g000000000001","h78fe4967g001eg0000g0000g000000000001"
"WAR_War_Machine","War Machine","WM","passive boost to rage generation with bonus on kill effects.","passive boost to rage generation with bonus on kill effects.","Passive","Talent-Passive","Passive,Proc,Movement","2","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Apply status on kill that grants movement speed boost","","","","","","","h78fe4967g001fg0000g0000g000000000001","h78fe4967g0020g0000g0000g000000000001"
"WAR_Leeching_Strikes","Leeching Strikes","LS","1% of damage dealt heals you","minor passive healing boost.","Passive","Single-Target-Attack","Passive,Healing,Lifesteal","2","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Lifesteal passive - may need custom functor","","","","","","","h78fe4967g0021g0000g0000g000000000001","h78fe4967g0022g0000g0000g000000000001"
"WAR_Intervene","Intervene","INT","charge an ally!","charge an ally!","Utility","Gap-Closer","Utility,Defensive,Mobility","2","","","","Baseline","All","","","","","","Action","","Short Rest (shares MobilityCharge)","Spell_Jump","Target","TeleportSource();ApplyStatus(context.Target,WAR_INTERVENED,100,3)","MeleeRange() and not Dead()","None","None - Movement","Not Started","P2","Wowhead: https://www.wowhead.com/spell=3411","","","","","","","h78fe4967g0189g0000g0000g000000000001","h78fe4967g018ag0000g0000g000000000001"
"WAR_Overpower","Overpower","OP","secondary attack which buffs Mortal Strike.","secondary attack which buffs Mortal Strike.","Offensive","General","Arms,Free-Attack","","2","","","Baseline","All","","","","","10","Action","ActionPoint:1;Rage:10","None","Spell_Target","Target","DealDamage(2d6+StrengthModifier,Physical)","HasStatus('SG_Dodged',context.Target)","2d6+StrengthModifier,Physical","","Not Started","P3","Wowhead: https://www.wowhead.com/spell=7384","","","","","","","h78fe4967g01d1g0000g0000g000000000001","h78fe4967g01d2g0000g0000g000000000001"
"WAR_Raging_Blow","Raging Blow","RB","Primary attack which forms the basis of the rotation.","Primary attack which forms the basis of the rotation.","Offensive","Single-Target-Attack","Fury,Free-Attack,Enrage","","","2","","Baseline","All","","","","","40","Action","ActionPoint:1;Rage:40","None","Spell_Target","Target","DealDamage(2d8+StrengthModifier,Physical)","HasStatus('WAR_ENRAGED',context.Source)","2d8+StrengthModifier,Physical","None - Damage Only","Not Started","P3","Wowhead: https://www.wowhead.com/spell=85288","","","","","","","h78fe4967g01d5g0000g0000g000000000001","h78fe4967g01d6g0000g0000g000000000001"
"WAR_Revenge","Revenge","REV","Core offensive AoE Rage spender. Must-have talent.","Core offensive AoE Rage spender. Must-have talent.","Offensive","General","Protection,AoE,Reactive","","","","","Baseline","All","","","","","30","Action","ActionPoint:1;Rage:30","None","Spell_Zone","Zone","DealDamage(2d8+StrengthModifier,Physical)","HasStatus('WAR_REVENGE_READY',context.Source)","2d8+StrengthModifier,Physical","","Not Started","P3","Wowhead: https://www.wowhead.com/spell=6572","ShieldBlock:1","","","","","","h78fe4967g014dg0000g0000g000000000001","h78fe4967g014eg0000g0000g000000000001"
"WAR_Demoralizing_Shout","Demoralizing Shout","Demo or DS","Minor defensive cooldown with good talent synergy deeper in the tree. Must-have talent.","Minor defensive cooldown with good talent synergy deeper in the tree. Must-have talent.","Defensive","AoE-Buff","Defensive,AoE,Debuff","","","","2","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","ApplyStatus(NEARBY_ENEMIES,WAR_DEMORALIZED,100,8)","Self","None","WAR_DEMORALIZING_SHOUT","Not Started","P3","AoE debuff shout","","","","","","","h78fe4967g0169g0000g0000g000000000001","h78fe4967g016ag0000g0000g000000000001"
"WAR_Execute","Execute","Exe","Arms' version of Execute","Arms' version of Execute","Offensive","Execute","Execute,Burst,Finisher","","3","7","10","Baseline","Protection","","","","","20","Action","ActionPoint:1;Rage:20","None","Spell_Target","Target","DealDamage(4d12+StrengthModifier,Slashing)","HealthPercentage(context.Target) <= 20","4d12+StrengthModifier,Slashing","None - Damage Only","Not Started","P3","Wowhead: https://www.wowhead.com/spell=5308","","","","","","","h78fe4967g01c5g0000g0000g000000000001","h78fe4967g01c6g0000g0000g000000000001"
"WAR_Pummel","Pummel","PUM","low cooldown interrupt.","low cooldown interrupt.","Offensive","General","Utility,Interrupt","","","7","7","Baseline","All","","","","","10","Action","ActionPoint:1;Rage:10","OncePerTurn","Spell_Target","Target","Interrupt()","MeleeRange() and not Dead()","None","WAR_PUMMEL","Not Started","P2","Wowhead: https://www.wowhead.com/spell=6552","","","","","","","h78fe4967g01a7g0000g0000g000000000001","h78fe4967g01a8g0000g0000g000000000001"
"WAR_Devastate","Devastate","DEV","A very basic damaging skill that has a lot of talent interactions.","A very basic damaging skill that has a lot of talent interactions.","Offensive","General","Protection,Rage-Generation","","","","3","Baseline","Protection","","","","","","Action","","None","Spell_Target","Target","DealDamage(1d6+StrengthModifier+ShieldAC,Physical);RestoreResource(context.Source,Rage,10,0)","MeleeRange() and not Dead()","1d6+StrengthModifier+ShieldAC,Physical","","Not Started","P3","Wowhead: https://www.wowhead.com/spell=20243","","","","","","","h78fe4967g01c3g0000g0000g000000000001","h78fe4967g01c4g0000g0000g000000000001"
"WAR_Shield_Block","Shield Block","SB","Primary defensive skill. Very powerful damage mitigation while active.","Primary defensive skill. Very powerful damage mitigation while active.","Defensive","Defensive-CD","Protection,Defensive,Mitigation","","","","3","Baseline","All","","","","","30","Action","ActionPoint:1;Rage:30","Short Rest (1-2 charges)","Spell_Shout","Shout","ApplyStatus(SELF,WAR_SHIELD_BLOCK,100,2)","Self","None","WAR_SHIELD_BLOCK","Not Started","P3","Wowhead: https://www.wowhead.com/spell=2565","ShieldBlock:1","","","","","","h78fe4967g017fg0000g0000g000000000001","h78fe4967g0180g0000g0000g000000000001"
"WAR_Riposte","Riposte","RIP","A very simple Crit to Parry conversion.","A very simple Crit to Parry conversion.","Offensive","General","Protection,Passive,Mitigation","","","","","Baseline","All","","","","","","Action","","None","Passive","N/A","Passive conversion","","None","","Not Started","P3","","Riposte:1","","","","","","h78fe4967g0023g0000g0000g000000000001","h78fe4967g0024g0000g0000g000000000001"
"WAR_Slam","Slam","SLA","initial rage spender, quickly replaced by other abilities.","initial rage spender, quickly replaced by other abilities.","Offensive","Single-Target-Attack","Offensive","","7","3","7","Baseline","Protection","","","","","20","Action","ActionPoint:1;Rage:20","None","Spell_Target","Target","DealDamage(1d8+StrengthModifier,Bludgeoning)","MeleeRange() and not Dead()","1d8+StrengthModifier,Bludgeoning","None - Damage Only","Not Started","P2","Wowhead: https://www.wowhead.com/spell=1464","","","","","","","h78fe4967g01ddg0000g0000g000000000001","h78fe4967g01deg0000g0000g000000000001"
"WAR_Impending_Victory","Impending Victory","IV","Deals damage and heals you for 20% of your max HP","on-demand version of Victory Rush.","Offensive","General","Offensive,Healing,Single-Target","3","3","3","3","Baseline","All","","","","","10","Action","ActionPoint:1;Rage:10","None","Spell_Target","Target","DealDamage(2d6+StrengthModifier,Physical);RegainHitPoints(20% MaxHP)","MeleeRange() and not Dead()","2d6+StrengthModifier,Physical","","Not Started","P2","Healing attack - alternative to Victory Rush","","","","","","","h78fe4967g01c9g0000g0000g000000000001","h78fe4967g01cag0000g0000g000000000001"
"WAR_Heroic_Leap","Heroic Leap","Leap","burst mobility skill, which does not immune ground effects like Blink, but can be useful for avoi...","burst mobility skill, which does not immune ground effects like Blink, but can be useful for avoiding knockbacks.","Utility","Gap-Closer","Mobility,AoE","3","3","3","3","Baseline","All","","","","","-20","Action","ActionPoint:1","Short Rest (shares MobilityCharge)","Spell_Jump","Zone","TeleportSource();DealDamage(1d6,Bludgeoning)","AreaTarget()","1d6,Bludgeoning","None - Movement","Not Started","P3","Wowhead: https://www.wowhead.com/spell=6544","","","","","","","h78fe4967g0187g0000g0000g000000000001","h78fe4967g0188g0000g0000g000000000001"
"WAR_Storm_Bolt","Storm Bolt","SB","useful ranged stun on a relatively low cooldown.","useful ranged stun on a relatively low cooldown.","Offensive","General","Utility,Stun,Ranged","3","","","","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Projectile","Projectile","DealDamage(1d6+StrengthModifier,Thunder);ApplyStatus(WAR_STUNNED,100,2)","Distance() <= 18 and not Dead()","1d6+StrengthModifier,Thunder","WAR_STORM_BOLT","Not Started","P2","Wowhead: https://www.wowhead.com/spell=107570","","","","","","","h78fe4967g01b3g0000g0000g000000000001","h78fe4967g01b4g0000g0000g000000000001"
"WAR_Martial_Prowess","Martial Prowess","MP","Increases damage of all Arms abilities by 5%","enables Overpower's buff.","Offensive","General","Arms,Passive,Damage-Boost","","","","","Baseline","All","","","","","","Action","","None","Passive","Target","","MeleeRange() and not Dead()","","","Not Started","P3","Spec-wide damage boost","","","","","","","h78fe4967g0025g0000g0000g000000000001","h78fe4967g0026g0000g0000g000000000001"
"WAR_Die_by_the_Sword","Die by the Sword","DbtS","Arms primary defensive cooldown.","Arms primary defensive cooldown.","Defensive","Defensive-CD","Arms,Defensive,Cooldown","","3","","","Baseline","All","","","","","","Action","","3 minutes (OncePerCombat)","Spell_Shout","Shout","ApplyStatus(SELF,WAR_DIE_BY_SWORD,100,4)","Self","None","WAR_DIE_BY_THE_SWORD","Not Started","P3","Wowhead: https://www.wowhead.com/spell=118038","","","","","","","h78fe4967g016bg0000g0000g000000000001","h78fe4967g016cg0000g0000g000000000001"
"WAR_Improved_Execute","Improved Execute","IE","Execute deals additional 2d6 damage","enables Arms Execute.","Offensive","Execute","Passive,Execute-Build,Damage-Boost","","","","","Baseline","All","","","","Execute","20","Action","ActionPoint:1;Rage:20","None","Passive","Target","","HealthPercentage(context.Target) <= 20","DealDamage(4d12+StrengthModifier,MainMeleeWeaponDamageType,Magical)","None - Damage Only","Not Started","P3","Modifies Execute - add to modified_by column","","","","","","","h78fe4967g0027g0000g0000g000000000001","h78fe4967g0028g0000g0000g000000000001"
"WAR_Frenzied_Enrage","Frenzied Enrage","FE","While Enraged, you deal 10% more damage","greatly increases the speed of Fury gameplay.","Passive","Rage-Management","Fury,Enrage,Damage-Boost","Auto-Grant","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Conditional damage boost while Enraged","","","","","","","h78fe4967g0029g0000g0000g000000000001","h78fe4967g002ag0000g0000g000000000001"
"WAR_Powerful_Enrage","Powerful Enrage","PE","large damage increase without increasing the speed of Fury gameplay.","large damage increase without increasing the speed of Fury gameplay.","Passive","Rage-Management","Fury,Enrage,Critical","Auto-Grant","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Conditional crit boost while Enraged","","","","","","","h78fe4967g002bg0000g0000g000000000001","h78fe4967g002cg0000g0000g000000000001"
"WAR_Enraged_Regeneration","Enraged Regeneration","ER","Fury's primary defensive cooldown.","Fury's primary defensive cooldown.","Defensive","Rage-Management","Fury,Defensive,Healing","","","3","","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","ApplyStatus(SELF,WAR_ENRAGED_REGEN,100,5)","Self","None","WAR_ENRAGED_REGENERATION","Not Started","P3","Wowhead: https://www.wowhead.com/spell=184364","Enrage:1","","","","","","h78fe4967g016fg0000g0000g000000000001","h78fe4967g0170g0000g0000g000000000001"
"WAR_Brace_For_Impact","Brace For Impact","BFI","Stacking buff that grants 10% Shield Slam damage and 5% Block Value per stack. Extremely easy to ...","Stacking buff that grants 10% Shield Slam damage and 5% Block Value per stack. Extremely easy to maintain 2-3 stacks, which provides incredible value for a single point. Absolutely mandatory talent.","Passive","Talent-Passive","Protection,Defensive,Mitigation","Auto-Grant","Auto-Grant","Auto-Grant","3","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Enhances Shield Block mitigation","","","","","","","h78fe4967g002dg0000g0000g000000000001","h78fe4967g002eg0000g0000g000000000001"
"WAR_Armor_Specialization","Armor Specialization","AS","Basic Armor increase, has synergy with other talents to increase Strength.","Basic Armor increase, has synergy with other talents to increase Strength.","Passive","Talent-Passive","Protection,Passive,Defensive","Auto-Grant","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Simple AC boost","","","","","","","h78fe4967g002fg0000g0000g000000000001","h78fe4967g0030g0000g0000g000000000001"
"WAR_Fight_Through_the_Flames","Fight Through the Flames","FTTF","Newly added in The War Within, reduces magic dmg taken while in Defensive Stance, not overly usef...","Newly added in The War Within, reduces magic dmg taken while in Defensive Stance, not overly useful for most situations. Niche application in Mythic Plus, more useful in Raid.","Defensive","General","Protection,Defensive,Resistance","","","","3","Baseline","All","","","","","","Action","","None","Passive","Target","","MeleeRange() and not Dead()","","","Not Started","P3","Damage type resistance","","","","","","","h78fe4967g0031g0000g0000g000000000001","h78fe4967g0032g0000g0000g000000000001"
"WAR_Devastator","Devastator","DEV","Excellent rotation-smoothing talent, must-have talent. DO NOT TRY TO SKIP THIS.","Excellent rotation-smoothing talent, must-have talent. DO NOT TRY TO SKIP THIS.","Offensive","General","Protection,Proc,Shield-Slam-Enhancement","","","","","Baseline","All","","","","Devastate","","Action","","None","Passive","Target","","MeleeRange() and not Dead()","","","Not Started","P3","Proc-based Shield Slam reset","","","","","","","h78fe4967g0033g0000g0000g000000000001","h78fe4967g0034g0000g0000g000000000001"
"WAR_Intimidating_Shout","Intimidating Shout","IS","easily broken AoE fear which can be used as a pseudo interrupt.","easily broken AoE fear which can be used as a pseudo interrupt.","Offensive","AoE-Buff","Utility,AoE,CC,Fear","4","","","","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","ApplyStatus(NEARBY_ENEMIES,FRIGHTENED,100,8)","Self","None","WAR_INTIMIDATING_SHOUT","Not Started","P2","AoE fear effect","","","","","","","h78fe4967g0173g0000g0000g000000000001","h78fe4967g0174g0000g0000g000000000001"
"WAR_Second_Wind","Second Wind","SW","very rarely ignores environmental damage, but is usually broken by most effects.","very rarely ignores environmental damage, but is usually broken by most effects.","Offensive","General","Defensive,Healing,Self-Heal","4","","","","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","RegainHitPoints(30% MaxHP)","Self","None","","Not Started","P3","Emergency self-heal","","","","","","","h78fe4967g017dg0000g0000g000000000001","h78fe4967g017eg0000g0000g000000000001"
"WAR_Frothing_Berserker","Frothing Berserker","FB","Taking damage while Enraged generates 2 Rage","inconsistent passive rage refund.","Passive","Rage-Management","Fury,Enrage,Rage-Generation","4","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Rage generation on damage taken","","","","","","","h78fe4967g0035g0000g0000g000000000001","h78fe4967g0036g0000g0000g000000000001"
"WAR_Bounding_Stride","Bounding Stride","BS","Using Charge, Heroic Leap, or Intervene increases movement speed","allows more leaping.","Utility","General","Utility,Mobility,Passive","4","","","","Baseline","All","","","","","","Action","","None","Passive","Target","","MeleeRange() and not Dead()","","","Not Started","P2","Passive that triggers on mobility ability use","","","","","","","h78fe4967g0037g0000g0000g000000000001","h78fe4967g0038g0000g0000g000000000001"
"WAR_Pain_and_Gain","Pain and Gain","PG","passive self-healing.","passive self-healing.","Passive","Talent-Passive","Passive,Healing,Lifesteal","4","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Passive self-healing - heal based on damage dealt.","","","","","","","h78fe4967g0039g0000g0000g000000000001","h78fe4967g003ag0000g0000g000000000001"
"WAR_Thunder_Clap","Thunder Clap","TC","a core part of Mountain Thane, but otherwise unused.","a core part of Mountain Thane, but otherwise unused.","Offensive","General","AoE,Slow","4","4","4","4","Baseline","All","","","","","20","Action","ActionPoint:1;Rage:20","None","Spell_Zone","Zone","DealDamage(1d8+StrengthModifier,Thunder);ApplyStatus(WAR_SLOWED,100,3)","AreaTarget()","1d8+StrengthModifier,Thunder","","Not Started","P3","Wowhead: https://www.wowhead.com/spell=6343","","","","","","","h78fe4967g0153g0000g0000g000000000001","h78fe4967g0154g0000g0000g000000000001"
"WAR_Improved_Overpower","Improved Overpower","IO","insignificant damage increase.","insignificant damage increase.","Passive","Talent-Passive","Passive,-Enhancement,Damage-Boost","Auto-Grant","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Enhances  with bonus damage","","","","","","","h78fe4967g003bg0000g0000g000000000001","h78fe4967g003cg0000g0000g000000000001"
"WAR_Bloodsurge","Bloodsurge","BLO","provides minor rage generation against a single target, but ramps greatly against multiple.","provides minor rage generation against a single target, but ramps greatly against multiple.","Offensive","General","Fury,Proc,Rage-Generation","","","","","Baseline","All","","","","","","Action","","None","Passive","Target","","MeleeRange() and not Dead()","","","Not Started","P3","Rage generation proc","","","","","","","h78fe4967g003dg0000g0000g000000000001","h78fe4967g003eg0000g0000g000000000001"
