"EntryName","FileType","HandleName","HandleDesc","DisplayName","Description"
"WAR_Martial_Prowess","Passive","h78fe4967g0025","h78fe4967g0026","Martial Prowess","enables Overpower's buff.

- Role: Offensive
- Subtype: General
- Tags: Arms, Passive, Damage-Boost
- Notes: Spec-wide damage boost"
"WAR_Improved_Execute","Passive","h78fe4967g0027","h78fe4967g0028","Improved Execute","enables Arms Execute.

- Role: Offensive
- Subtype: Execute
- Tags: Passive, Execute-Build, Damage-Boost
- Resources: Rage 20
- Damage Roll: DealDamage(4d12+StrengthModifier,MainMeleeWeaponDamageType,Magical)
- Statuses Applied: None - Damage Only
- Notes: Modifies Execute - add to modified_by column"
"WAR_Frenzied_Enrage","Passive","h78fe4967g0029","h78fe4967g002a","Frenzied Enrage","greatly increases the speed of Fury gameplay.

- Role: Passive
- Subtype: Rage-Management
- Tags: Fury, Enrage, Damage-Boost
- Notes: Conditional damage boost while Enraged"
"WAR_Powerful_Enrage","Passive","h78fe4967g002b","h78fe4967g002c","Powerful Enrage","large damage increase without increasing the speed of Fury gameplay.

- Role: Passive
- Subtype: Rage-Management
- Tags: Fury, Enrage, Critical
- Notes: Conditional crit boost while Enraged"
"WAR_Brace_For_Impact","Passive","h78fe4967g002d","h78fe4967g002e","Brace For Impact","Stacking buff that grants 10% Shield Slam damage and 5% Block Value per stack. Extremely easy to maintain 2-3 stacks, which provides incredible value for a single point. Absolutely mandatory talent.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Protection, Defensive, Mitigation
- Notes: Enhances Shield Block mitigation"
"WAR_Armor_Specialization","Passive","h78fe4967g002f","h78fe4967g0030","Armor Specialization","Basic Armor increase, has synergy with other talents to increase Strength.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Protection, Passive, Defensive
- Notes: Simple AC boost"
"WAR_Fight_Through_the_Flames","Passive","h78fe4967g0031","h78fe4967g0032","Fight Through the Flames","Newly added in The War Within, reduces magic dmg taken while in Defensive Stance, not overly useful for most situations. Niche application in Mythic Plus, more useful in Raid.

- Role: Defensive
- Subtype: General
- Tags: Protection, Defensive, Resistance
- Notes: Damage type resistance"
"WAR_Devastator","Passive","h78fe4967g0033","h78fe4967g0034","Devastator","Excellent rotation-smoothing talent, must-have talent. DO NOT TRY TO SKIP THIS.

- Role: Offensive
- Subtype: General
- Tags: Protection, Proc, Shield-Slam-Enhancement
- Notes: Proc-based Shield Slam reset"
"WAR_Frothing_Berserker","Passive","h78fe4967g0035","h78fe4967g0036","Frothing Berserker","inconsistent passive rage refund.

- Role: Passive
- Subtype: Rage-Management
- Tags: Fury, Enrage, Rage-Generation
- Notes: Rage generation on damage taken"
"WAR_Bounding_Stride","Passive","h78fe4967g0037","h78fe4967g0038","Bounding Stride","allows more leaping.

- Role: Utility
- Subtype: General
- Tags: Utility, Mobility, Passive
- Notes: Passive that triggers on mobility ability use"
"WAR_Pain_and_Gain","Passive","h78fe4967g0039","h78fe4967g003a","Pain and Gain","passive self-healing.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Healing, Lifesteal
- Notes: Passive self-healing - heal based on damage dealt."
"WAR_Improved_Overpower","Passive","h78fe4967g003b","h78fe4967g003c","Improved Overpower","insignificant damage increase.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, -Enhancement, Damage-Boost
- Notes: Enhances with bonus damage"
"WAR_Bloodsurge","Passive","h78fe4967g003d","h78fe4967g003e","Bloodsurge","provides minor rage generation against a single target, but ramps greatly against multiple.

- Role: Offensive
- Subtype: General
- Tags: Fury, Proc, Rage-Generation
- Notes: Rage generation proc"
"WAR_Fueled_by_Violence","Passive","h78fe4967g003f","h78fe4967g0040","Fueled by Violence","minor amount of passive healing which ramps against multiple targets.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Healing, AoE-Scaling
- Notes: Minor passive healing that ramps against multiple targets."
"WAR_Storm_Wall","Passive","h78fe4967g0041","h78fe4967g0042","Storm Wall","heals on any parry, not just when Die by the Sword is active.

- Role: Defensive
- Subtype: General
- Tags: Arms, Defensive, Raid-Utility
- Statuses Applied: WAR_STORM_WALL
- Notes: Extends Die by the Sword with AoE benefit"
"WAR_Sudden_Death","Passive","h78fe4967g0043","h78fe4967g0044","Sudden Death","Excellent single-target damage proc, adds up to quite a bit of damage throughout a raid fight.

- Role: Offensive
- Subtype: General
- Tags: Execute-Build, Proc, Fury
- Notes: Proc that enables Execute outside execute phase"
"WAR_Fervor_of_Battle","Passive","h78fe4967g0045","h78fe4967g0046","Fervor of Battle","single target damage enhancement, which also allows the abilities to stack Collateral Damage. The auto-cast Slam does not cost rage.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Arms, AoE-Enhancement, Cleave
- Notes: Allows Slam/Whirlwind to stack Collateral Damage. Enables single-target abilities to hit multiple targets."
"WAR_Improved_Bloodthirst","Passive","h78fe4967g0047","h78fe4967g0048","Improved Bloodthirst","very small but worthwhile damage increase.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, -Enhancement, Damage-Boost
- Notes: Enhances with bonus damage"
"WAR_Fresh_Meat","Passive","h78fe4967g0049","h78fe4967g004a","Fresh Meat","useful leveling talent, but not very useful anywhere else.

- Role: Offensive
- Subtype: General
- Tags: Fury, Proc, Bloodthirst-Enhancement
- Notes: Enhances Bloodthirst crits"
"WAR_Warpaint","Passive","h78fe4967g004b","h78fe4967g004c","Warpaint","strong passive damage reduction.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Defensive, Mitigation
- Notes: Passive damage mitigation"
"WAR_Invigorating_Fury","Passive","h78fe4967g004d","h78fe4967g004e","Invigorating Fury","situationally useful in PvP, but otherwise much worse than Warpaint.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Fury, Healing, Enrage
- Notes: Heal when Enrage expires. PvP-focused talent, less useful in PvE."
"WAR_Cruelty","Passive","h78fe4967g004f","h78fe4967g0050","Cruelty","notable damage increase, though only while Enraged.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Enrage, Conditional-Boost
- Notes: Conditional bonus while Enraged status active"
"WAR_Best_Served_Cold","Passive","h78fe4967g0051","h78fe4967g0052","Best Served Cold","Increases

- Role: Passive
- Subtype: Talent-Passive
- Tags: Protection, Revenge-Enhancement
- Notes: Increases Revenge effectiveness. Tank passive."
"WAR_Strategist","Passive","h78fe4967g0053","h78fe4967g0054","Strategist","Critical rotational functionality. Absolutely mandatory talent. Not just for pathing reasons.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Arms, Proc, Overpower-Build, Critical
- Notes: Critical rotational talent - MANDATORY. 30% chance to reset Overpower charges."
"WAR_Grant_Extra_Attack","Passive","h78fe4967g0055","h78fe4967g0056","Grant Extra Attack","Provides an extra attack action during combat, allowing for additional offensive capabilities.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Unknown, Extra-Attack
- Notes: NEEDS RESEARCH - No description available. Likely grants additional attack proc."
"WAR_Barbaric_Training","Passive","h78fe4967g0057","h78fe4967g0058","Barbaric Training","only useful for Mountain Thane in multitarget.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Fury, AoE, Mountain-Thane
- Notes: Only useful for Mountain Thane in multitarget. Spec-specific passive."
"WAR_Tactician","Passive","h78fe4967g0059","h78fe4967g005a","Tactician","calculates the total rage spent on an ability and converts it into a chance to reset the cooldown on Overpower.

- Role: Offensive
- Subtype: General
- Tags: Arms, Proc, Overpower-Build
- Notes: Proc passive - requires charge resource for Overpower"
"WAR_Impale","Passive","h78fe4967g005b","h78fe4967g005c","Impale","increases the extra critical hit damage inflicted by crits, meaning it's closer to a 5% damage bonus than 10%.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Critical, Damage-Boost
- Notes: Increases critical strike damage"
"WAR_Focus_in_Chaos","Passive","h78fe4967g005d","h78fe4967g005e","Focus in Chaos","removes the 19% dual wield miss penalty from auto-attacks, although they can still be parried.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Fury, Dual-Wield, Hit-Chance
- Notes: Removes 19% dual-wield miss penalty from auto-attacks (though they can still be dodged/parried)."
"WAR_Improved_Raging_Blow","Passive","h78fe4967g005f","h78fe4967g0060","Improved Raging Blow","critical talent which enables Raging Blow resets.

- Role: Passive
- Subtype: Single-Target-Attack
- Tags: Fury, Raging-Blow-Enhancement, Reset-Mechanic
- Notes: Critical talent - enables Raging Blow resets. 20% chance per cast."
"WAR_Instigate","Passive","h78fe4967g0061","h78fe4967g0062","Instigate","Basically auto-attack rage generation by 2 and performs very well.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Protection, Rage-Generation, Auto-Attack
- Notes: Increases auto-attack rage generation by 2. Performs very well for tanks."
"WAR_Rend","Passive","h78fe4967g0063","h78fe4967g0064","Rend","Excellent DPS increase applied passively by

- Role: Passive
- Subtype: Bleed
- Tags: Passive, DoT, Bleed
- Notes: Applies damage over time effect"
"WAR_Brutal_Vitality","Passive","h78fe4967g0065","h78fe4967g0066","Brutal Vitality","This grants ~8% Leech whenever Ignore Pain is active. It's a decent boost to self-sustain, especially since the dmg from

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Healing, Leech
- Notes: Leech - percentage of damage heals you"
"WAR_Honed_Reflexes","Passive","h78fe4967g0067","h78fe4967g0068","Honed Reflexes","Reduces most defensive cooldowns by a very minor amount.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Defensive, Cooldown-Reduction
- Notes: Reduces defensive cooldowns by minor amount. General survivability passive."
"WAR_Crushing_Force","Passive","h78fe4967g0069","h78fe4967g006a","Crushing Force","major damage increase for Slam.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Enhancement, Major-Boost
- Notes: Major enhancement passive - research specific mechanics needed"
"WAR_Bitter_Immunity","Passive","h78fe4967g006b","h78fe4967g006c","Bitter Immunity","highly situational due to its long cooldown.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Defensive, CC-Immunity, Situational
- Notes: Highly situational due to long cooldown. Grants immunity to specific effects."
"WAR_Overwhelming_Rage","Passive","h78fe4967g006d","h78fe4967g006e","Overwhelming Rage","eases the burdens of rage management.

- Role: Passive
- Subtype: Rage-Management
- Tags: Fury, Rage-Generation
- Notes: Increases maximum Rage by 15-20 and eases rage management burdens."
"WAR_Rumbling_Earth","Passive","h78fe4967g006f","h78fe4967g0070","Rumbling Earth","greatly increases the usefulness of Shockwave when using it regularly against groups.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Enhancement, Major-Boost
- Notes: Major enhancement passive - research specific mechanics needed"
"WAR_Reinforced_Plates","Passive","h78fe4967g0071","h78fe4967g0072","Reinforced Plates","synergizes with Armored to the Teeth to provide additional damage.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Armor, Damage-Synergy
- Notes: Synergizes with Armored to the Teeth. Provides armor and damage boost."
"WAR_Finishing_Blows","Passive","h78fe4967g0073","h78fe4967g0074","Finishing Blows","increases rage generation during the Execute phase to fuel its higher costs.

- Role: Passive
- Subtype: Execute
- Tags: Passive, Rage-Generation
- Notes: Increases Rage generation under specific conditions"
"WAR_Anger_Management","Passive","h78fe4967g0075","h78fe4967g0076","Anger Management","an indispensable talent, creating more frequent increased damage windows.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Cooldown-Reduction, Critical
- Notes: Indispensable talent - reduces cooldowns, creates more frequent damage windows."
"WAR_Spiteful_Serenity","Passive","h78fe4967g0077","h78fe4967g0078","Spiteful Serenity","a very underwhelming talent with its own negative bonus in addition to strong competition in Anger Management.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Fury, Enrage, Underwhelming
- Notes: Very underwhelming talent with negative bonus. Strong competition from other talents."
"WAR_Exhilarating_Blows","Passive","h78fe4967g0079","h78fe4967g007a","Exhilarating Blows","allows more casts of Mortal Strike and Cleave.

- Role: Passive
- Subtype: Single-Target-Attack
- Tags: Arms, Rage-Reduction, Cost-Reduction
- Notes: Reduces Mortal Strike and Cleave rage costs. Allows more frequent casts."
"WAR_Collateral_Damage","Passive","h78fe4967g007b","h78fe4967g007c","Collateral Damage","gains a stack for each single target attack cleaved by Sweeping Strikes, which includes the free Slam cast by Fervor of Battle, creating great synergy between them.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Arms, AoE, Cleave, Stacking-Buff
- Notes: Gains stacks for each single-target attack cleaved by Sweeping Strikes. Increases next AoE damage."
"WAR_Single","Passive","h78fe4967g007d","h78fe4967g007e","Single","Minded Fury- increase the effectiveness of dual wielding one-handed weapons, but not by enough to make them competitive with two-handed weapons.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Fury, Dual-Wield, Weapon-Specialization
- Notes: Single-Minded Fury - increases effectiveness of dual-wielding one-handed weapons."
"WAR_Cold_Steel_Hot_Blood","Passive","h78fe4967g007f","h78fe4967g0080","Cold Steel & Hot Blood","inflicts a powerful bleed, which can be applied to multiple targets via Whirlwind.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Arms, DoT, Bleed, Whirlwind-Enhancement
- Notes: Inflicts powerful bleed on critical hits. Can be applied to multiple targets via Whirlwind Meat Cleaver."
"WAR_Vicious_Contempt","Passive","h78fe4967g0081","h78fe4967g0082","Vicious Contempt","promotes Bloodthirst playstyles by greatly increasing its damage during the execute phase.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Fury, Execute-Build, Bloodthirst-Enhancement
- Notes: Greatly increases Bloodthirst damage during execute phase (<35% HP). Promotes Bloodthirst playstyles."
"WAR_Frenzy","Passive","h78fe4967g0083","h78fe4967g0084","Frenzy","semi-passive haste buff, with the downside of easily falling off when regularly switching targets.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Haste, Attack-Speed
- Notes: Haste passive - BG3 equivalent could be bonus action or extra attack"
"WAR_Hack_and_Slash","Passive","h78fe4967g0085","h78fe4967g0086","Hack and Slash","very important reset mechanic for Raging Blow builds.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Fury, Proc, Raging-Blow-Build
- Notes: Very important reset mechanic for Raging Blow builds. Auto-attacks have 10% chance to reset."
"WAR_Slaughtering_Strikes","Passive","h78fe4967g0087","h78fe4967g0088","Slaughtering Strikes","provides a significant damage boost for Rampage and greatly emphasizes Raging Blow's role in the rotation.

- Role: Passive
- Subtype: Single-Target-Attack
- Tags: Fury, Damage-Boost, Rampage-Enhancement
- Notes: Significant damage boost for Rampage. Greatly emphasizes Raging Blow usage."
"WAR_Ashen_Juggernaut","Passive","h78fe4967g0089","h78fe4967g008a","Ashen Juggernaut","provides a significant damage boost when using Execute regularly.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Execute-Build, Fury, Damage-Boost
- Notes: Significant damage boost when using Execute regularly. Stacks up during execute phase."
"WAR_Improved_Whirlwind","Passive","h78fe4967g008b","h78fe4967g008c","Improved Whirlwind","enables Fury's ability to cleave single target attacks onto other targets, forming the basis of its multitarget rotation.

- Role: Passive
- Subtype: AoE-Attack
- Tags: Fury, AoE, Cleave-Mechanic
- Notes: Enables Fury's cleave mechanics. Core Fury talent - single-target attacks hit additional targets after Whirlwind."
"WAR_Unnerving_Focus","Passive","h78fe4967g008d","h78fe4967g008e","Unnerving Focus","Increases Rage Generation while Last Stand is active. Has rarely seen play.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Rage-Generation
- Notes: Increases Rage generation under specific conditions"
"WAR_Bolster","Passive","h78fe4967g008f","h78fe4967g0090","Bolster","Reduces the cooldown of Last Stand to 2 minutes and grants Shield Block. Can find a niche application if the lower cooldown is beneficial.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Cooldown-Reduction
- Notes: Reduces cooldowns - BG3 implementation may need custom functor"
"WAR_Thunderlord","Passive","h78fe4967g0091","h78fe4967g0092","Thunderlord","Good cooldown reduction for demoralizing Shout that synergizes with other talents in the tree. Good talent in AoE, very mediocre in single target.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Protection, Cooldown-Reduction, Defensive
- Notes: Good cooldown reduction for Demoralizing Shout. Synergizes with other talents."
"WAR_Sudden_Death","Passive","h78fe4967g0093","h78fe4967g0094","Sudden Death","Excellent single-target damage proc, adds up to quite a bit of damage throughout a raid fight.

- Role: Offensive
- Subtype: General
- Tags: Execute-Build, Proc, Fury
- Notes: Proc that enables Execute outside execute phase"
"WAR_Heavy_Repercussions","Passive","h78fe4967g0095","h78fe4967g0096","Heavy Repercussions","Increases Rage Generation of Shield Slam by 2, which is also multiplied by Violent Outburst. But more importantly, it increases Shield Block duration by 1 second every time you press Shield Slam, resulting in pretty much infinite Shield Block uptime. Mandatory pick for low haste levels early in an expansion.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Rage-Generation
- Notes: Increases Rage generation under specific conditions"
"WAR_Punish","Passive","h78fe4967g0097","h78fe4967g0098","Punish","Increases Shield Slam damage and causes the hit enemy to deal less damage to you.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Protection, Shield-Slam-Enhancement, Mitigation
- Notes: Increases Shield Slam damage. Hit enemy deals less damage to you."
"WAR_Hunker_Down","Passive","h78fe4967g0099","h78fe4967g009a","Hunker Down","Increases Spell Reflection magic damage reduction and grants you 2% passive AoE damage reduction.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Defensive, Mitigation
- Notes: Passive damage mitigation"
"WAR_Vanguard","Passive","h78fe4967g009b","h78fe4967g009c","Vanguard","Simple defensive aura, reduces your damage taken, increases your Stamina and Armor.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Defensive, Mitigation
- Notes: Passive damage mitigation"
"WAR_Sidearm","Passive","h78fe4967g009d","h78fe4967g009e","Sidearm","minor passive damage increase.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Rage-Generation, Throw
- Notes: Minor passive damage increase. Increases throwing weapon effectiveness."
"WAR_Double_Time","Passive","h78fe4967g009f","h78fe4967g00a0","Double Time","a must-have mobility increase.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Utility, Mobility, Charge-Enhancement
- Notes: Must-have mobility increase. Grants 2 charges of Charge instead of 1."
"WAR_Seismic_Reverberation","Passive","h78fe4967g00a1","h78fe4967g00a2","Seismic Reverberation","very minor with Whirlwind, but highly effective for Mountain Thane.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Fury, AoE, Mountain-Thane, Whirlwind-Enhancement
- Notes: Very minor with base Whirlwind, but highly effective for Mountain Thane builds."
"WAR_Concussive_Blows","Passive","h78fe4967g00a3","h78fe4967g00a4","Concussive Blows","rather underwhelming due to only affecting the target which is interrupted, rather than increasing all damage dealt, though the reduced cooldown can be nice.

- Role: Passive
- Subtype: Single-Target-Attack
- Tags: Utility, Interrupt, Stun
- Notes: Underwhelming - only affects interrupted target, not AoE. 3s stun after successful interrupt."
"WAR_Bloodborne","Passive","h78fe4967g00a5","h78fe4967g00a6","Bloodborne","general bleed damage increase, which synergizes well with other bleed talents found throughout the tree.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, DoT, Bleed
- Notes: Applies damage over time effect"
"WAR_Dreadnaught","Passive","h78fe4967g00a7","h78fe4967g00a8","Dreadnaught","a multitarget option for Overpower.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Arms, AoE, Overpower-Enhancement
- Notes: Multitarget option for Overpower. Allows hitting 2 targets instead of 1."
"WAR_Strength_of_Arms","Passive","h78fe4967g00a9","h78fe4967g00aa","Strength of Arms","a single/two target power increase for Overpower.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Arms, Overpower-Enhancement, Damage-Boost
- Notes: Single/two target power increase for Overpower."
"WAR_In_For_The_Kill","Passive","h78fe4967g00ab","h78fe4967g00ac","In For The Kill","has the same duration of Colossus Smash, with good benefit against both single and multiple targets.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Arms, Colossus-Build, Haste-Buff
- Notes: Same duration as Colossus Smash. Good benefit against single and multitarget."
"WAR_Test_of_Might","Passive","h78fe4967g00ad","h78fe4967g00ae","Test of Might","stacks up a powerful strength buff, effectively extending the increased damage window created by Colossus Smash.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Arms, Colossus-Build, Damage-Boost
- Notes: Modifies Colossus Smash to buff caster"
"WAR_Blunt_Instruments","Passive","h78fe4967g00af","h78fe4967g00b0","Blunt Instruments","a single target alternative to Warbreaker, which also extends the duration of In for the Kill and Test of Might.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Arms, Colossus-Build, Duration-Extension
- Notes: Single-target alternative to Warbreaker. Extends In For The Kill duration."
"WAR_Massacre","Passive","h78fe4967g00b1","h78fe4967g00b2","Massacre","allows more frequent use of Execute.

- Role: Offensive
- Subtype: General
- Tags: Arms, Execute-Build, Execute-Extension
- Notes: Extends Execute window"
"WAR_Storm_of_Swords","Passive","h78fe4967g00b3","h78fe4967g00b4","Storm of Swords","largely unnecessary, resulting in overcapping.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Arms, Overpower-Build, Rage-Generation
- Notes: Largely unnecessary, results in rage overcapping. Generates rage on Overpower."
"WAR_Bloodcraze","Passive","h78fe4967g00b5","h78fe4967g00b6","Bloodcraze","creates strong synergy between Raging Blow and Bloodthirst, though it resets after any critical strike from Bloodthirst.

- Role: Offensive
- Subtype: General
- Tags: Fury, Proc, Rage-Generation
- Notes: Enhances Bloodthirst rage generation"
"WAR_Wrath_and_Fury","Passive","h78fe4967g00b7","h78fe4967g00b8","Wrath and Fury","a moderate damage and reset chance increase for Raging Blow.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Fury, Raging-Blow-Enhancement, Reset-Mechanic
- Notes: Moderate damage and reset chance increase for Raging Blow."
"WAR_Meat_Cleaver","Passive","h78fe4967g00b9","h78fe4967g00ba","Meat Cleaver","reduces the amount of Whirlwind casts needed to maintain multitarget cleave.

- Role: Offensive
- Subtype: AoE-Attack
- Tags: Fury, AoE, Cleave
- Resources: Rage 20
- Damage Roll: DealDamage(MainMeleeWeapon,MainMeleeWeaponDamageType,Magical)
- Statuses Applied: None - Damage Only
- Notes: Enables cleave after Whirlwind"
